Employee_ID,Name,Age,Department,Salary,Joining_Date,City,Performance_Score,Email
 emp-1000 ,MELVIN ALVAREZ,,sales ,36942,,Delhi,,marvin94@yahoo.com
,Megan Olson,38,Marketing,107005,,hyd,,
EMP1002,matthew,50,FINANCE,76k,2020-10-11,Hyderabad,five,invalid_email
EMP1003,jessica,N/A,IT,59k,2025-01-18,BLR,,
,BRENDA JOHNSON,,HR,unknown,2020-06-05,BLR,,jonesdavid@ellis-wilson.net
,jamie,,support,105k,08-18-2017,Bangalore,2.9,invalid_email
 emp-1006 ,,N/A,sales ,98846,,Bangalore,five,smithsteven
EMP1007,William Evans,22,IT,,,Delhi,,murphyolivia
EMP1008,,,support,65475,2017-08-10,Delhi,,floresmichael@gmail.com
EMP1009,donald,,Sales,unknown,2023-11-22,Hyderabad,,carrollmichael
EMP1010,George Howell,,FINANCE,unknown,26/03/2018,Mumbai,five,invalid_email
EMP1011,,,support,97k,07-07-2021,Mumbai,,flane@williams-sosa.net
EMP1012,PAUL ROSS,N/A,Marketing,,08/04/2021,Pune,five,invalid_email
,Christina Jimenez MD,44,Marketing,96k,,Chennai,2.7,
 emp-1014 ,martin,,Finance,unknown,14/09/2017,BLR,,mbrennan
EMP1015,David Hernandez,60,Marketing,64447,05-18-2017,Bangalore,,
EMP1016,Brandi Carter,,Finance,unknown,01-09-2021,Hyderabad,,elizabethbeltran@yahoo.com
EMP1017,derek,45,Marketing,36623,04-21-2023,Bangalore,,
EMP1018,daniel,,sales ,64k,12-08-2022,BLR,five,zgonzalez
 emp-1019 ,connie,,Marketing,110k,2020-10-02,Chennai,,mannsamuel@collins-hanson.biz
,,,IT,68k,01/05/2021,Hyderabad,,invalid_email
 emp-1021 ,cheryl,N/A,Finance,93711,2017-04-09,Pune,2.7,
,REBEKAH NELSON PHD,,FINANCE,50k,11-18-2016,BLR,1.6,invalid_email
EMP1023,BRANDON LOVE,,sales ,unknown,16/09/2023,Hyderabad,,smorrison@hotmail.com
,,,IT,88528,04-26-2025,Bangalore,3.0,barnescraig
,,,FINANCE,,06-09-2021,Pune,,williamsdaniel@yahoo.com
 emp-1026 ,,37,IT,111k,14/09/2019,Bangalore,,meganmoore@yahoo.com
